rates_code,rates_authority_id,rates_authority,region,location_code,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published
00000000510140,E09000031,Waltham Forest,Outer London - East and North East,8745032000,14,LEYTON GRANGE ESTATE,LONDON,E10 5HN,Offices (Inc Computer Centres),203,Office General,Office,26.13,3000.0,2010-04-29 00:00:00+00:00,2010,2011-03,1221.0,,,True,2010-04-29,,True
00000001023335,E09000031,Waltham Forest,Outer London - East and North East,2977620000,UNIT 5 THE FOREST BUSINESS PARK,ARGALL AVENUE,LONDON,E10 7FB,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,397.68,28500.0,2010-04-01 00:00:00+00:00,2010,2011-03,11599.5,,,True,2010-04-01,,True
0000000102334A,E09000031,Waltham Forest,Outer London - East and North East,2976536000,UNIT 6 THE FOREST BUSINESS PARK,ARGALL AVENUE,LONDON,E10 7FB,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,583.93,29250.0,2010-04-01 00:00:00+00:00,2010,2011-03,11904.75,CAPITAL TSHIRTS LIMITED,14607.25,True,1997-05-01,5083.0,True
00000001023354,E09000031,Waltham Forest,Outer London - East and North East,2975207000,UNIT 7 THE FOREST BUSINESS PARK,ARGALL AVENUE,LONDON,E10 7FB,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,432.72,26250.0,2010-04-01 00:00:00+00:00,2010,2011-03,10683.75,,,True,2010-04-01,,True
00000001023369,E09000031,Waltham Forest,Outer London - East and North East,2975617000,UNIT 8 THE FOREST BUSINESS PARK,ARGALL AVENUE,LONDON,E10 7FB,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,369.43,26750.0,2010-04-01 00:00:00+00:00,2010,2011-03,10887.25,THE TEXTILE CENTRE LTD,13257.0,True,2007-09-12,1297.0,True
00000001023373,E09000031,Waltham Forest,Outer London - East and North East,2975938000,UNIT 9 THE FOREST BUSINESS PARK,ARGALL AVENUE,LONDON,E10 7FB,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,372.04,27750.0,2010-04-01 00:00:00+00:00,2010,2011-03,11294.25,,,True,2010-04-01,,True
00000001023388,E09000031,Waltham Forest,Outer London - East and North East,2975108000,UNIT 10 THE FOREST BUSINESS PARK,ARGALL AVENUE,LONDON,E10 7FB,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,726.3,44250.0,2010-04-01 00:00:00+00:00,2010,2011-03,18009.75,,,True,2010-04-01,,True
00000001023405,E09000031,Waltham Forest,Outer London - East and North East,2975232000,UNIT 12 THE FOREST BUSINESS PARK,ARGALL AVENUE,LONDON,E10 7FB,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,385.14,28000.0,2010-04-01 00:00:00+00:00,2010,2011-03,11396.0,,,True,2010-04-01,,True
00000001023481,E09000031,Waltham Forest,Outer London - East and North East,6688886000,UNIT 20 THE FOREST BUSINESS PARK,ARGALL AVENUE,LONDON,E10 7FB,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,513.91,26000.0,2010-04-01 00:00:00+00:00,2010,2011-03,10582.0,,,True,2010-04-01,,True
00000001023496,E09000031,Waltham Forest,Outer London - East and North East,2975254000,UNIT 21 THE FOREST BUSINESS PARK,ARGALL AVENUE,LONDON,E10 7FB,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,355.03,24250.0,2010-04-01 00:00:00+00:00,2010,2011-03,9869.75,,,True,2010-04-01,,True
00000001023566,E09000031,Waltham Forest,Outer London - East and North East,2976023000,UNIT 28 THE FOREST BUSINESS PARK,ARGALL AVENUE,LONDON,E10 7FB,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,532.98,27000.0,2010-04-01 00:00:00+00:00,2010,2011-03,10989.0,P & J ENTERTAINMENT LTD,13625.25,True,2008-08-28,946.0,True
0000000102357B,E09000031,Waltham Forest,Outer London - East and North East,2975156000,UNIT 29 THE FOREST BUSINESS PARK,ARGALL AVENUE,LONDON,E10 7FB,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,422.5,29000.0,2010-04-01 00:00:00+00:00,2010,2011-03,11803.0,,,True,2010-04-01,,True
00000001023585,E09000031,Waltham Forest,Outer London - East and North East,2976546000,UNIT 30 THE FOREST BUSINESS PARK,ARGALL AVENUE,LONDON,E10 7FB,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,574.45,36500.0,2009-11-27 00:00:00+00:00,2010,2011-03,14855.500000000002,,,True,2009-11-27,,True
00000001023602,E09000031,Waltham Forest,Outer London - East and North East,2975891000,UNIT 32 THE FOREST BUSINESS PARK,ARGALL AVENUE,LONDON,E10 7FB,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,960.5,63500.0,2010-04-01 00:00:00+00:00,2010,2011-03,26289.0,,,True,2010-04-01,,True
00000001023621,E09000031,Waltham Forest,Outer London - East and North East,2977649000,UNIT 34 THE FOREST BUSINESS PARK,ARGALL AVENUE,LONDON,E10 7FB,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,2101.16,85000.0,2010-04-01 00:00:00+00:00,2010,2011-03,35190.0,,,True,2010-04-01,,True
0000000102364B,E09000031,Waltham Forest,Outer London - East and North East,241817057,ASIAN CRICKET CLUB,SOUTH ACCESS ROAD,LONDON,E17 8AX,Cricket Grounds/Pitches (Non-County),083,Leisure Sports centres and Private Clubs,Leisure,156.2,2950.0,2010-04-01 00:00:00+00:00,2010,2011-03,1200.65,,,True,2010-04-01,,True
00000001023655,E09000031,Waltham Forest,Outer London - East and North East,242142057,LOW HALL SPORTS GROUND,SOUTH ACCESS ROAD,LONDON,E17 8AX,Sports Grounds,261,Leisure Sports centres and Private Clubs,Leisure,415.3,38750.0,2010-04-01 00:00:00+00:00,2010,2011-03,15771.250000000002,,,True,2010-04-01,,True
